word,part_of_speech,chinese_meaning,english_definition,example_sentence,synonyms,antonyms,memory_hint,difficulty_level,frequency_level,source_book_chapter
compliant,adj.,順從的、應允的,"(usu derog ) (too) willing to comply (with other people, with rules, etc)",,,,,2,1,"Mason 2000 PDF page 66 / 字根 pli, plic 彎、折、重疊 / 提示 replicate 折疊、複製"
pliable,adj.,易彎的、柔軟的,"easily bent, shaped or twisted; flexible",,,,,1,1,"Mason 2000 PDF page 66 / 字根 pli, plic 彎、折、重疊 / 提示 replicate 折疊、複製"
pliant,adj.,易受影響的、易彎的,bending easily; supple,,,,,1,1,"Mason 2000 PDF page 66 / 字根 pli, plic 彎、折、重疊 / 提示 replicate 折疊、複製"
pliers,n.,鉗子、鑷子,"tool with long jaws which have flat surfaces that can be brought together for holding, bending, twisting or cutting wire, etc",,,,,5,2,"Mason 2000 PDF page 66 / 字根 pli, plic 彎、折、重疊 / 提示 replicate 折疊、複製"
accomplice,n.,同謀者、幫兇,person who helps another to do sth wicked or illegal,,,,ac + com(共同) + plic(重疊) + e → 共同做,3,3,"Mason 2000 PDF page 66 / 字根 pli, plic 彎、折、重疊 / 提示 replicate 折疊、複製"
duplicate,adj.,完全一樣的、複製的、副本的,exactly like something else; identical,"Other Twitter users, desperate (極度渴望的) for validation (認可；認證), endlessly retweet their own tweets, spamming followers with duplicate information. — Casey Newton, The Verge",,,du 二、雙,2,2,"Mason 2000 PDF page 66 / 字根 pli, plic 彎、折、重疊 / 提示 replicate 折疊、複製"
duplicitous,adj.,欺騙的；搞兩面派的；奸詐的,"of contradictory doubleness of thought, speech, or action; deceptive in words or action","For Brexit to succeed we must get rid of this awful, duplicitous Prime Minister. — Natasha Bach, Fortune",crooked;deceptive;fraudulent;guileful,,,3,3,"Mason 2000 PDF page 66 / 字根 pli, plic 彎、折、重疊 / 提示 replicate 折疊、複製"
explicable,adj.,可解釋的、可辯明的,that can be explained,,,,,1,1,"Mason 2000 PDF page 66 / 字根 pli, plic 彎、折、重疊 / 提示 replicate 折疊、複製"
explicit,adj.,詳盡的、清楚的、明確的,"(of a statement, etc) clearly and fully expressed",explicit instructions,,,,5,5,"Mason 2000 PDF page 66 / 字根 pli, plic 彎、折、重疊 / 提示 replicate 折疊、複製"
implicate,v.,牽連、暗示,"sb show that sb is involved in sth, esp a crime",,,,im(內) + plic(摺) + ate → 重疊進來 → 牽連,2,1,"Mason 2000 PDF page 66 / 字根 pli, plic 彎、折、重疊 / 提示 replicate 折疊、複製"
implicit,adj.,含蓄的、不言而喻的,"implied, but not expressed directly; not explicit",,,,,2,1,"Mason 2000 PDF page 66 / 字根 pli, plic 彎、折、重疊 / 提示 replicate 折疊、複製"
inexplicable,adj.,無法說明的、難以理解的、莫名其妙的,that cannot be explained,an inexplicable disappearance 難以理解的消失 // an inexplicable desire for ice cream at two in the morning 在凌晨兩點無法解 釋的對冰淇淋的渴望,,,,5,5,"Mason 2000 PDF page 66 / 字根 pli, plic 彎、折、重疊 / 提示 replicate 折疊、複製"
replica,n.,複製品、複寫、酷似,"exact copy, esp one made by an artist of one of his own pictures, etc",,,,,2,1,"Mason 2000 PDF page 66 / 字根 pli, plic 彎、折、重疊 / 提示 replicate 折疊、複製"
replicate,v.,摺疊、複製,be or make a copy of (sth); reproduce,computer-generated speech that replicates the human voice 複製人聲的電腦生成的演說,,,,5,5,"Mason 2000 PDF page 66 / 字根 pli, plic 彎、折、重疊 / 提示 replicate 折疊、複製"
supplicate,v.,懇求、乞求,sth (fml ) ask (sb) humbly or pleadingly for sth,with bowed heads they supplicated their Lord,,,sup(下面) + plic(折疊) + ate,5,2,"Mason 2000 PDF page 67 / 字根 pli, plic 彎、折、重疊 / 提示 replicate 折疊、複製"
deplorable,adj.,悲慘的、應受譴責的,deserving censure or contempt; LAMENTABLE,"The real-world history of how America treated its African-American soldiers in World War II is deplorable, but Overlord never mentions race. — Bryan Bishop, The Verge",v. deplore 對…感到遺憾;譴責;悲痛,,,1,1,Mason 2000 PDF page 67 / 字根 plore 喊 / 提示 explore 探究、考察
implore,v.,哀求、懇求,ask or beg earnestly; beseech,,,,,5,2,Mason 2000 PDF page 67 / 字根 plore 喊 / 提示 explore 探究、考察
extrapolate,v.,推斷,sth (fml) (mathematics) calculate (an unknown quantity) approximately from known values or measurements,"From the wounds of these women, we can extrapolate that they were killed by the same serial killer.",,,,3,3,Mason 2000 PDF page 67 / 字根 pol 放 / 提示 extrapolate 推斷
impolitic,adj.,不明智的,not wise; not politic,,,,,1,1,Mason 2000 PDF page 67 / 字根 pol 市民 / 提示 politics 政治
politic,adj.,明智的、精明的、慎重的,(of actions) well judged; prudent,,,,,1,1,Mason 2000 PDF page 67 / 字根 pol 市民 / 提示 politics 政治
pompous,adj.,浮華的、愛炫耀的,excessively elevated or ornate; having or exhibiting self-importance : ARROGANT,"Pompous 'International Grand Committee' 浮誇的""國際大委員會"" Signs Useless But Equally Pompous 'Declaration On Principles Of Law Governing The Internet' 簽署無用但相同浮誇的""網路監管原則宣言""",arrogant;bombastic,,,2,2,"Mason 2000 PDF page 67 / 字根 pom, pomp: splendor 華麗 / 提示 pompous浮華的、愛炫耀的"
ponder,v.,仔細考慮、衡量,"think about (sth) carefully and for a long time, esp in trying to reach a decision; consider",ponder her next move 思考下一步,chew over;contemplate;deliberate;entertain;meditate;ruminate;study;weigh,,,2,2,Mason 2000 PDF page 67 / 字根 ponder 重量 / 提示 ponder 仔細考慮、衡量
ponderous,adj.,笨重的、笨拙的,slow and awkward because of great weight,"For all its ponderous officialdom (官僚), the Pentagon also has an especially clear chain of command. — The Economist",lively(輕快活潑的),,,3,3,Mason 2000 PDF page 67 / 字根 ponder 重量 / 提示 ponder 仔細考慮、衡量
preponderate,v.,壓倒、超過,"(fml ) be greater in influence, importance, quantity, etc (than sth else)",,,,,1,1,Mason 2000 PDF page 67 / 字根 ponder 重量 / 提示 ponder 仔細考慮、衡量
opportune,adj.,恰好的、適宜的,(of time) suitable or favourable for a purpose,"His startup arrives at an opportune time, as shoppers are keen on value. — Chavie Lieber, Vox",seasonable;timely;well-timed,,,3,3,Mason 2000 PDF page 67 / 字根 port 拿、運 / 提示 import 進口
opportunistic,,機會主義的、投機取巧的,,"So why is our government, while ignoring truly needy factions, playing butler (男管家) to an already rich, opportunistic, overindulged (過度溺愛的) (airline) industry? — Mitch Albom (Guess who the government wants to help? The airlines"")",,,,3,3,Mason 2000 PDF page 67 / 字根 port 拿、運 / 提示 import 進口
purport,v.,聲稱；據稱；意旨,"to have the often specious appearance of being, intending, or claiming (something implied or inferred); CLAIM","The article seems to purport that the new drug is a cure for cancer, but there is no scientific evidence to support this claim. 這篇文 章似乎在聲稱這個新藥是能治癒癌症，但是沒有科學證據支持這個說法。",intend;look;mean;meditate;plan;propose;purpose,,pur(=pro向前) + port(拿、運) → 摘要、主旨寫在文章之前 → 聲稱、意旨、主旨,3,3,Mason 2000 PDF page 67 / 字根 port 拿、運 / 提示 import 進口
apposite,adj.,適當的、貼切的；相關的,"(of a remark, etc) very appropriate (for a purpose or an occasion)",an apposite quotation,appropriate;apt;relevant;applicable;applicative;applicatory;apropos;pertinent,opposite (a.相反的);extraneous (a. 無關系的),,4,4,Mason 2000 PDF page 67 / 字根 pos 放 / 提示 posture 姿勢
composed,adj.,鎮靜的、沉著的,of sth made up or formed from sth,the composed pianist gave a flawless concert,,,,5,5,Mason 2000 PDF page 67 / 字根 pos 放 / 提示 posture 姿勢
decompose,v.,分解、腐爛,become bad or rotten; decay,,,,,5,2,Mason 2000 PDF page 68 / 字根 pos 放 / 提示 posture 姿勢
disposable,adj.,免洗的、可動用的,made to be thrown away after use,,,,,2,1,Mason 2000 PDF page 68 / 字根 pos 放 / 提示 posture 姿勢
disposition,n.,天性、氣質；處理,person's natural qualities of mind and character,They have a happy disposition; they are perpetually smiling and are given to frequent paroxysms 發作；突發 of laughter.,nature;temper;temperament,,,3,3,Mason 2000 PDF page 68 / 字根 pos 放 / 提示 posture 姿勢
impose,v.,徵（稅）、加（負擔）,"sth place (a penalty, tax, etc) officially on sb/sth",,,,,2,1,Mason 2000 PDF page 68 / 字根 pos 放 / 提示 posture 姿勢
imposing,adj.,壯麗的、宏偉的,impressive in appearance or manner; grand,an imposing 17th-century manor house,,,,1,1,Mason 2000 PDF page 68 / 字根 pos 放 / 提示 posture 姿勢
impostor,n.,冒充者、騙子,"person pretending to be sb else, usu in order to deceive others",,,,,1,1,Mason 2000 PDF page 68 / 字根 pos 放 / 提示 posture 姿勢
juxtapose,v.,並排、並置,"place (people or things) side by side or very close together, esp to show a contrast",The exhibition juxtaposes 並列 Picasso's early drawings with some of his later works.,,,,2,2,Mason 2000 PDF page 68 / 字根 pos 放 / 提示 posture 姿勢
posit,v.,假定、假設；斷定、認為,suggest or assume (sth) as a fact; postulate,"In his argument, he posited that humans are fundamentally selfish creatures. 在他的論述中，他假設人類從根本上是自私的 生物。",suggest;assume,,,3,3,Mason 2000 PDF page 68 / 字根 pos 放 / 提示 posture 姿勢
predisposition,n.,傾向、素質,(to do sth) state of mind or body that makes sb liable to act in a certain way or to suffer from a certain disease,She has an annoying predisposition to find fault. 她有愛挑毛病這令人討厭的傾象,,,,2,2,Mason 2000 PDF page 68 / 字根 pos 放 / 提示 posture 姿勢
repository,n.,容器、貯藏處、寶庫,"place where things are stored or may be found, esp a warehouse or museum",,,,,1,1,Mason 2000 PDF page 68 / 字根 pos 放 / 提示 posture 姿勢
despotic,,暴君的、暴虐的、專橫的,characteristic of an absolute ruler or absolute rule; having absolute sovereignty,,,,,1,1,Mason 2000 PDF page 68 / 字根 pot 力量 / 提示 potential 潛在的、有可能性的
omnipotent,adj.,全能的、萬能的,having unlimited or very great power,an omnipotent deity (神),,,,2,2,Mason 2000 PDF page 68 / 字根 pot 力量 / 提示 potential 潛在的、有可能性的
potent,adj.,強而有力的、有影響力的,"(of drugs, etc) having a strong effect","In the field of pharmacology 藥理學, potency is a measure of drug activity expressed in terms of the amount required to produce an effect of given intensity. A highly potent drug evokes a given response at low concentrations.",powerful;effective,impotent,,3,3,Mason 2000 PDF page 68 / 字根 pot 力量 / 提示 potential 潛在的、有可能性的
deprave,,使墮落、使惡化,,,,,de(向下) + prave(音讀play) → 整天在下面玩 → 墮落,1,1,Mason 2000 PDF page 68 / 字根 prav 壞 / 提示 deprave 使墮落、使惡化
deprecate,v.,不贊同、反對；輕視,feel and express disapproval of (sth),The school deprecates this behavior. 譴責這行為,譴責: deplore;abhor;disapprove of;frown on;detest;despise,,(1) 不再祈禱 - 譴責神祇 (2) depreciate 貶值要譴責,4,4,Mason 2000 PDF page 68 / 字根 prec 祈禱 / 提示 deprecate 反對、輕視
precarious,adj.,不穩的、危險的,depending on chance; uncertain,Our financial situation is still precarious. 我們的財務狀況仍不穩定,,,(1) 祈禱prec很多ous - 不停求神拜佛表危險 (2) pre前 car車 ous 多,5,5,Mason 2000 PDF page 68 / 字根 prec 祈禱 / 提示 deprecate 反對、輕視
apprehend,v.,理解；逮捕；恐懼,seize (sb); arrest; to grasp with the understanding : recognize the meaning of; to become aware of : PERCEIVE,apprehension of a criminal 逮捕罪犯 // a person of dull apprehension 遲鈍的理解力 // The thought of moving to a new city fills me with apprehension. 疑懼感,,,,5,5,"Mason 2000 PDF page 68 / 字根 prehend, prehens 抓住 / 提示 comprehend 理解、了解"
comprehensive,adj.,全面的、綜合的,that includes everything,a comprehensive survey 全面的考察 a comprehensive motor insurance policy 汽車全險保單,,,,5,5,"Mason 2000 PDF page 68 / 字根 prehend, prehens 抓住 / 提示 comprehend 理解、了解"
misapprehend,v.,誤會、誤解,to apprehend wrongly : MISUNDERSTAND,He misapprehended the instructions and did the task incorrectly. 他誤解了說明而做錯了任務。,misconstrue;misinterpret;misperceive;misread;mistake;misunderstand,,,3,3,"Mason 2000 PDF page 69 / 字根 prehend, prehens 抓住 / 提示 comprehend 理解、了解"
reprehend,v.,v. n. 申斥、指摘,criticize or rebuke (sb or sb's behaviour),The employee received a reprimand for consistently arriving late to work.,,,形近 reprimand (v. 訓斥),1,1,"Mason 2000 PDF page 69 / 字根 prehend, prehens 抓住 / 提示 comprehend 理解、了解"
pressing,adj.,緊迫的、迫切的,urgent,"the most pressing problems of American agriculture. — Tamar Haspel, Vox",acute;burning;dire;emergent;exigent;imperative;instant;urgent,,,2,2,Mason 2000 PDF page 69 / 字根 press 壓 / 提示 impressive 印象深刻的
repress,v.,壓抑、抑制、鎮壓,restrain or suppress (an impulse); check,repressed a laugh 壓住一個笑聲 // repressed her anger 抑制她的怒氣,,,,4,4,Mason 2000 PDF page 69 / 字根 press 壓 / 提示 impressive 印象深刻的
suppress,v.,鎮壓、抑制,"put an end to (sth), esp by force; crush",suppress a riot 鎮壓暴動,,,,5,5,Mason 2000 PDF page 69 / 字根 press 壓 / 提示 impressive 印象深刻的
unimpressed,,沒有印象的,,,,,,1,1,Mason 2000 PDF page 69 / 字根 press 壓 / 提示 impressive 印象深刻的
primal,,最初的、原始的,,,,,,1,1,"Mason 2000 PDF page 69 / 字根 prim, pri 第一、最早 / 提示 primary 主要的"
primacy,n.,卓越、第一位,"the state of being first (as in importance, order, or rank) : PREEMINENCE",challenge U.S. primacy 挑戰美國首位性 Civil law took primacy over religious law. Civil law優先於religious law,,,,4,4,"Mason 2000 PDF page 69 / 字根 prim, pri 第一、最早 / 提示 primary 主要的"
